35	161
37	149
37	147
38	146
38	145
39	145
39	144
39	143
40	142
40	140
40	139
41	138
42	137
43	136
43	135
44	135
45	134
45	133
45	132
46	131
46	130
47	130
47	129
48	128
49	127
50	127
50	126
51	125
52	125
53	125
54	124
55	124
57	124
57	123
58	123
59	123
59	122
60	122
61	122
63	121
64	121
66	120
67	120
68	120
69	120
70	120
71	119
72	119
73	119
74	119
75	119
76	119
77	119
78	119
80	119
82	119
83	119
85	119
86	119
88	119
89	119
91	119
92	119
93	119
94	119
95	119
96	119
97	119
98	120
99	120
100	120
100	121
101	121
101	122
102	122
103	122
104	123
105	124
106	125
107	125
107	126
107	127
108	127
108	128
108	129
108	130
109	131
109	132
109	133
110	133
110	134
110	135
110	137
110	138
110	139
110	140
110	141
110	142
110	143
110	144
110	145
110	146
110	147
110	148
109	149
109	150
108	151
108	152
107	153
106	153
106	154
105	154
105	155
104	155
103	155
102	155
101	155
100	155
99	155
98	155
96	155
95	155
93	155
92	155
91	155
90	154
89	154
88	153
88	152
85	152
85	151
83	151
83	150
82	149
81	148
81	147
80	147
80	146
79	146
79	145
78	145
78	144
78	143
77	143
77	142
77	141
77	140
76	140
76	139
76	138
76	137
76	136
76	135
76	134
76	133
76	132
76	131
76	130
76	129
76	128
76	127
76	126
76	125
77	125
77	124
77	123
77	122
77	121
77	120
78	120
78	119
79	119
79	118
80	118
81	117
82	117
83	117
84	117
85	117
86	117
87	117
88	117
89	117
91	117
92	117
94	117
95	117
98	117
100	117
101	117
104	117
106	117
108	117
111	117
113	117
115	117
117	117
120	117
122	117
126	117
129	117
131	117
134	117
136	117
138	117
140	117
143	116
144	116
146	116
148	115
149	115
151	114
152	114
153	114
154	113
155	113
156	112
157	112
157	111
158	111
159	111
160	110
160	109
161	109
161	108
161	107
162	107
162	106
162	105
162	104
162	102
162	101
161	100
161	99
161	98
160	96
160	95
160	94
160	93
160	92
160	90
160	89
159	87
159	86
159	84
159	83
159	81
158	79
158	78
158	76
158	74
157	72
157	71
157	69
157	68
157	67
157	65
157	64
157	63
157	62
157	61
158	60
158	59
158	58
158	57
159	56
159	55
160	54
160	53
162	51
163	51
163	50
165	49
167	48
169	47
172	46
174	44
178	43
180	42
183	40
184	40
186	39
187	38
188	38
189	38
189	37
190	37
