3.103578705873879517e+00	3.420366105741822871e+00	4.309021578993453616e+00	7.341067297968317362e+00	2.734864009911035065e+00	3.480889108982026858e+00	3.325612042735640372e+00	3.964836184886820547e+00	3.244246662690082772e+00	nan
2.647107441354378921e+00	2.245226197024090542e+00	3.753981360358254804e+00	7.492246534855143913e+00	1.434898010972139648e+00	2.379502265539568562e+00	2.308192494895871416e+00	2.803597365461364621e+00	2.518777258333718017e+00	nan
2.311085046882546568e+00	2.379455631636641311e+00	3.459315915452181311e+00	5.716736545742878484e+00	1.734090668727371609e+00	2.413078586820911475e+00	2.439374378230079188e+00	3.177808093305229509e+00	2.526922912948306177e+00	2.776205453441388027e+00
2.276707508199523389e+00	2.126149665798166222e+00	3.245154195169092759e+00	5.258868312351709484e+00	1.383804901824041700e+00	2.327503606401484237e+00	2.073716285070663634e+00	2.641997868648445547e+00	2.276740867992444795e+00	2.359648248497797418e+00
1.976221596330894448e+00	2.199229132282964461e+00	3.077446337487907524e+00	4.230886895817447702e+00	1.614724762061440888e+00	2.103980937078903768e+00	2.040292933135051889e+00	2.780618877128975264e+00	2.334848139919746046e+00	2.340055046909769843e+00
1.811167804730723141e+00	1.937992517677642690e+00	2.742818638403512033e+00	3.963015465485947963e+00	1.440765139399553529e+00	2.051702368918830732e+00	2.072068680007566055e+00	2.664326310572058709e+00	2.236693815756837456e+00	2.338684422614941472e+00
1.986421746920771447e+00	1.725300972505866337e+00	2.331352438554532114e+00	3.243638266090255406e+00	1.302599194065978461e+00	1.991626846185418742e+00	1.866117428925771815e+00	2.463964174719478262e+00	2.017734651121290135e+00	2.315023992264826358e+00
1.398093413834347931e+00	1.812531283614614575e+00	2.790588755080568806e+00	3.209370624102258596e+00	1.236471332295288272e+00	1.919967182739905853e+00	1.823790085687423845e+00	2.039925038015798719e+00	1.820988092485550602e+00	2.203027562829555475e+00
1.541979478488860300e+00	1.793385522038553503e+00	2.916559983251771460e+00	2.681197397047132114e+00	1.132151572128981876e+00	2.135824133943366121e+00	1.704933169187609732e+00	2.269758598508133662e+00	1.696637575643935136e+00	2.311642023650609890e+00
1.343825928817836468e+00	1.641841282807537272e+00	2.348853195077822420e+00	2.244052680704987424e+00	1.300774770886826248e+00	1.677311161873874967e+00	1.748770606953781392e+00	2.439465292732769353e+00	1.686174721341111349e+00	2.067370021867267926e+00
