1.524166551132710978e+01	1.713111997408246268e+01	1.316230329520013953e+01	1.104852891763041534e+01	1.816571026198966265e+01	1.133100392243533250e+01	1.511373739121649606e+01	1.907137564710884448e+01	1.214772456524648270e+01	1.820415061742711416e+01	1.282710236098058054e+01	1.336255161630190536e+01	1.915810049499147993e+01	1.123911964741643210e+01
1.110029011167257273e+01	1.010236264150614183e+01	1.005651776628100436e+01	7.826169649568999631e+00	1.268823266345912693e+01	7.958994080728157172e+00	1.059281205722009389e+01	1.172762807435989352e+01	8.470224785202786322e+00	1.270120947231387909e+01	9.381153217391025478e+00	9.069648709168360412e+00	1.169330987894878504e+01	7.387882634996810971e+00
8.557552169256178232e+00	7.353545930638425432e+00	7.384374752614053961e+00	5.818013545257391783e+00	8.835161772930865354e+00	6.404109644142831570e+00	7.895505732998716830e+00	8.339635468569685628e+00	6.969492466569081834e+00	1.045460402574020087e+01	7.847739218081321688e+00	6.377682586850466961e+00	8.852118361455769247e+00	6.335463780515511623e+00
6.857270754312765781e+00	5.963244833845948278e+00	5.402881595626688238e+00	4.650059610693010548e+00	5.967575383907964159e+00	5.381391149812491115e+00	6.695710742495871060e+00	6.506922775939456116e+00	5.184134764630329073e+00	7.612118024816396655e+00	6.818558662120520530e+00	5.245869611367176333e+00	6.494178714021538568e+00	5.127544949131021212e+00
5.422912715335244549e+00	5.368678656972326380e+00	5.088862809908739848e+00	3.532135675384605378e+00	5.593662566229788524e+00	4.586774376905530026e+00	5.290038628899003115e+00	5.912271377251407500e+00	3.922103847293804346e+00	6.806579450091727601e+00	5.161359849702250813e+00	3.880037675110863393e+00	5.023475477567581393e+00	4.556530669379783127e+00
4.799245890700257533e+00	4.251979373829893660e+00	4.581138353089084347e+00	3.646426425591673848e+00	4.532966155170942812e+00	4.177222408049517277e+00	4.581687821282836026e+00	5.076029581715967964e+00	3.664972891277433309e+00	5.875989918482964924e+00	4.946088107752643737e+00	3.016587040163859257e+00	5.354789445553678640e+00	3.642448266361749454e+00
3.271161358316437617e+00	4.322236944540867931e+00	3.686466523793721528e+00	3.403543890474147293e+00	2.758873087414220215e+00	3.178042916143276830e+00	3.860749547381581159e+00	4.320272434301608122e+00	3.148137176232896906e+00	4.568733589798318562e+00	4.087398792281880411e+00	3.069423353587287906e+00	4.553575155860647428e+00	3.041346975604092062e+00
3.543874836713401866e+00	3.588252280040102882e+00	3.618297910060464861e+00	2.833757622752836269e+00	3.324359116143266846e+00	3.083339440557634425e+00	3.136128362964713201e+00	3.879457128579862690e+00	2.555735912087294448e+00	4.896467328967375465e+00	3.682414834019330119e+00	2.364367970817511821e+00	3.866014077351258571e+00	3.019024683433753076e+00
2.928703236670271881e+00	3.332125319613445491e+00	3.044107224070550455e+00	2.317808927273977471e+00	2.744035890620864393e+00	1.593100305412133322e+00	3.583828671153933776e+00	3.589567675643715816e+00	2.322905781341554121e+00	3.821513683566573061e+00	3.277208045711599738e+00	2.354199404580903821e+00	4.241950350477663001e+00	2.872559211887859121e+00
1.915755202613885988e+00	2.934875651100950833e+00	2.879671306150386467e+00	2.601643403626779261e+00	2.605137306058306290e+00	1.830848244314710271e+00	3.216682338163146859e+00	2.663461089000292770e+00	2.112377564868107349e+00	3.502641165328114425e+00	2.752404123955295212e+00	2.416320337466947521e+00	3.280478123801461976e+00	2.334132084053900158e+00
2.308730332575558819e+00	2.539468227484179330e+00	2.951960544097870898e+00	1.878331472856397344e+00	1.541197695720304850e+00	2.276900474600896729e+00	2.625238685219842605e+00	3.265245855579868461e+00	1.616171959978636608e+00	3.135343805542750051e+00	2.383748265642233743e+00	2.203431868198188592e+00	2.839157257829830971e+00	2.377729917193706299e+00
2.053482923656343662e+00	2.255272612237202878e+00	2.229059776329206599e+00	1.474286968515839957e+00	1.736141455357038232e+00	1.817703611094845906e+00	2.304298139325872796e+00	2.332436040990307990e+00	1.422579340436597839e+00	3.400384069855181046e+00	1.978479498495336220e+00	1.821121968765751831e+00	2.394550307155059343e+00	2.270833665104315724e+00
